oxygen,health,dewpt,no2,h2s,Status,humidity,sound,temperature,sound_max,pm10,co,co2,DeviceID,pressure,performance,pm2_5,TypPS,pm1,humidity_abs,timestamp,tvoc,o3
20.924,673,14.014,5.46,2.9,OK,49.124,43.62,25.264,60.9,9.3,0.5754,544.3,2476110a610045cbe5f347a25c6eecb5,979.2999,811,8.3,2.1,6.9,11.529,1725542770000,0,13.07
20.924,674,14.013,5.46,2.91,OK,49.121,43.33,25.264,60.9,9.3,0.5755,544.3,2476110a610045cbe5f347a25c6eecb5,979.2999,811,8.2,2.2,6.9,11.528,1725542777000,0,13.07
20.924,672,14.013,5.45,2.91,OK,49.118,43.03,25.264,60.9,9.4,0.5757,544.2,2476110a610045cbe5f347a25c6eecb5,979.2999,811,8.2,2.2,6.9,11.528,1725542784000,0,13.07
20.924,671,14.013,5.46,2.92,OK,49.119,42.75,25.264,60.9,9.4,0.5758,544.0,2476110a610045cbe5f347a25c6eecb5,979.3099,811,8.3,2.2,6.9,11.528,1725542791000,0,13.07
20.924,671,14.013,5.46,2.92,OK,49.119,42.75,25.264,60.9,9.4,0.5758,544.0,2476110a610045cbe5f347a25c6eecb5,979.3099,811,8.3,2.2,6.9,11.528,1725542791000,0,13.07
20.924,671,14.014,5.46,2.92,OK,49.121,42.61,25.264,38.5,9.4,0.5759,543.9,2476110a610045cbe5f347a25c6eecb5,979.3099,811,8.2,2.2,6.9,11.529,1725542798000,0,13.07
20.924,671,14.015,5.46,2.93,OK,49.122,42.37,25.265,38.5,9.4,0.576,543.8,2476110a610045cbe5f347a25c6eecb5,979.3099,811,8.2,2.2,6.9,11.529,1725542805000,0,13.08
20.924,670,14.015,5.47,2.94,OK,49.123,42.03,25.265,38.5,9.3,0.576,543.6,2476110a610045cbe5f347a25c6eecb5,979.3099,811,8.2,2.2,6.9,11.53,1725542812000,0,13.08
20.924,670,14.015,5.47,2.94,OK,49.123,42.03,25.265,38.5,9.3,0.576,543.6,2476110a610045cbe5f347a25c6eecb5,979.3099,811,8.2,2.2,6.9,11.53,1725542812000,0,13.08
